xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
7.31,-0.54,-5.05,-22.77,-70.8,12.02
9.24,-0.01,-6.46,-82.46,-9.77,61.1
5.71,0.65,-6.06,0.85,-2.01,-7.51
8.37,-1.64,-5.79,5.74,-6.16,-6.96
9.36,-1.44,-3.94,16.78,-9.09,-2.69
7.76,0.45,-7.15,6.96,-1.95,-26
1.18,3.89,-7.97,10.31,17.88,41.99
6.17,-1.28,-6.54,-4.27,-1.28,6.77
10.05,-1.83,-4.57,-18.92,-6.53,47.91
7.02,0.43,-5.05,-2.38,-1.71,3.85
14.67,19.06,14.63,-44.8,26.55,-37.6
4.2,0.62,8.78,-11.54,-14.59,6.41
5.05,-4.01,-8.12,-55.6,53.53,8.61
4.27,-0.01,-4.01,-3.48,-1.04,-22.83
6.98,-2.44,-6.02,15.81,8.06,-2.99
4.62,-1.07,-6.27,14.65,-1.95,-19.1
9.33,1.8,-5.38,32.1,-9.4,-2.69
9.25,-2,-1.71,-1.71,-2.08,-0.37
5.91,-4.12,-5.68,0.06,-1.83,-6.96
6.7,-0.55,7.3,10.13,-3.97,-26.49
7.68,1.89,-8.37,-9.89,15.2,14.71
4.62,-0.27,-7.76,-5.43,16.11,25.63
6.63,-1.76,-6.19,13.55,-10.25,-24.17
13.73,-0.91,-8.5,1.34,19.1,22.77
5.61,2.89,6.59,53.77,-11.54,-57.25
3.55,-5.96,-3.94,43.33,-20.14,-10.5
6.82,-3.05,6.41,2.93,-1.22,-4.82
7.9,3.27,-2.27,8.18,36.99,-25.76
9.44,-3.05,-2.08,3.36,-2.81,-5.92
8.32,-1.27,-5.35,3.6,8.97,-8.61
11.92,-4.66,-4.82,3.11,-23.68,-14.71
7.35,2.11,5.99,-6.9,7.02,14.89
17.72,5.33,-5.25,-14.89,23.19,30.03
9,-2.74,-2.7,-5.07,-5.62,-1.16
6.77,-3.03,6.62,-0.55,0.24,-1.1
4.04,-5.05,-6.04,-9.46,-11.78,-10.8
3.97,14.31,25.16,-76.23,13.37,-48.95
7.39,1.32,-6.27,-4.7,-23.93,1.28
4.85,2.05,-5.42,21.48,-7.08,-7.08
5.44,0.22,-7.11,10.31,11.35,15.99
13.25,-3.06,-8.02,-9.34,-11.05,-52.12
5.87,-3.52,-6.48,9.46,-1.89,-4.64
6.73,2.22,9.8,-18.25,-1.46,-18.68
7.84,-0.19,-2.91,20.57,-15.93,-24.17
5.28,0.85,-6.3,-3.85,0.55,-4.39
5.43,-4.16,7.3,-3.66,-0.61,2.69
7.19,3.35,-4.4,-34.24,1.04,2.38
5.97,-1.22,-5.9,-5.49,-1.16,11.41
7.42,-1.12,-5.67,-28.99,-21.79,9.03
7.66,-0.62,6.15,37.54,11.66,-16.66
11.98,-0.82,-6.82,-2.99,26.67,17.52
6.95,0.99,-5.27,-24.96,-6.23,18.13
3.98,-6.13,6.63,-2.87,-0.79,-5.62
5.17,2.3,7.5,-6.04,-9.16,1.16
6.19,-5.95,4.92,6.71,-5,2.81
13.57,-1.46,-10.07,-22.4,26.79,14.4
13.71,2.35,-9.23,-4.76,15.75,43.52
7.59,-0.75,-8.31,12.7,2.56,-19.47
8.52,-1.63,-1.35,-35.16,17.7,24.96
8.94,-3.07,-2.06,-0.67,0.31,-2.69
4.5,-7.75,4.07,-0.61,-0.98,-1.04
8.85,-3.05,-3.26,-2.2,-0.06,2.44
7.02,1.72,-5.55,101.81,-44.56,-80.02
8.73,0.04,-5.75,-4.09,-1.53,14.95
5.41,-4.37,7.16,-1.22,1.34,0
12.23,-0.26,-7.82,-10.5,8.12,46.57
4.07,-6.27,7.13,0.12,2.26,-2.26
9.28,-3.53,-1.97,-1.46,-3.36,1.95
9.83,-0.77,-3.21,27.34,31.01,-22.34
8.25,-3.71,-5.13,-0.67,8,-12.02
5.73,-2.12,7.17,4.82,-4.27,-20.39
4.25,-2.01,-5.55,15.87,-22.03,-21.48
9.3,-0.91,0.25,-2.14,-21,0
8.26,1.38,-8.11,11.47,18.37,-18.01
4.82,1.68,-3.64,32.47,-4.76,-10.01
6.09,-1.25,7.77,2.14,1.1,-1.53
11.25,1.07,-4.58,-0.92,-1.34,-0.12
6.06,-0.2,-5.98,-1.83,-4.82,-0.18
9.13,-2.95,-6.07,-33.45,-6.16,14.53
6.51,-2.08,-2.6,40.89,2.99,-38.51
3.19,-3.7,-5.87,9.46,38.27,13.31
9.12,-0.91,-5.8,-17.21,-4.64,-19.53
7.58,-2.21,6.09,-1.77,-1.71,0.43
4.37,-0.6,-4.65,-8.42,-0.85,29.3
4.96,-1.35,-8.45,-135.99,65.86,134.89
6.1,-0.14,-5.44,8.06,-3.36,-10.44
9.86,7.1,-3.05,16.72,-1.65,48.95
7.44,2.44,-4.94,-19.47,-8.85,29.85
7.91,-2.78,-4.91,-16.36,17.4,4.58
4.82,1.1,-6.06,11.78,-1.4,-5.62
5.83,-0.94,-7.54,-4.52,-0.12,8.85
7.01,-5.21,-3.01,19.59,-1.4,-9.58
9.32,-2.36,-5.09,23.25,-2.2,-19.17
5.6,-5.31,6.33,-0.06,-0.43,-1.53
13.3,-5.56,-3.81,-0.18,-52.86,-24.48
8.23,0.53,-9.5,-1.59,7.93,-8.48
8.71,-1.72,-3.36,27.53,-15.14,-7.93
6.07,-0.92,-6.12,23.38,11.29,-32.9
11.75,1.91,-9.76,-5.74,-17.58,-2.75
7.92,-3.67,-11.57,24.48,-10.8,-29.48
8.11,1.87,-5.48,-8.06,-14.28,10.86
1.68,-1.15,10.58,16.66,65.25,-15.75
14.56,-6.39,-6.35,41.02,-10.31,-65.19
9.73,-0.82,-8.37,-24.84,-2.26,48.4
9.17,-2.81,-7.62,17.46,-9.52,-43.33
7.9,-1.58,-4.28,29.11,-1.89,-7.32
13.53,-3.32,0.01,0.37,-49.68,7.51
6.3,-4.33,-5.38,63.72,-17.76,-51.21
6.64,-6.3,4.11,24.6,7.57,8.18
10.93,-2.95,-8.62,9.83,17.82,34.73
4.87,2.05,-6.14,91.37,-6.53,-102.72
4.98,-3.22,-6.32,-24.17,-20.14,7.45
7.92,-0.04,-6.76,-2.87,7.32,15.87
15.24,-0.2,-3.12,44.98,-61.46,-73.06
6.08,6.62,-5.9,99.98,14.1,-92.1
3.51,-6.66,-6.96,60.18,-27.77,-50.48
6.87,1.18,-6.91,-10.19,15.14,-0.79
6.41,-0.1,7.08,-4.52,3.36,1.16
3.86,3.65,-16.81,101.87,50.23,-92.65
6.82,-1.22,-5.89,-38.94,-29.17,22.03
6.46,0.72,7.42,-0.31,0.43,-1.04
9.02,-5.65,-6.11,25.82,-26.79,-16.3
7.3,-0.11,-3.95,7.39,-19.65,-8
6.34,-3.44,-5.59,-10.19,-88.07,-0.37
1.09,-1.3,-1.41,-54.63,-23.32,40.22
6.55,-2.14,7.15,0.61,0.92,-1.16
9.74,-2.36,-3.99,-34.67,17.88,36.32
6.43,2.5,-6.14,24.84,-21.48,-11.84
7.38,-3.44,-6.69,9.52,-4.46,9.03
9.56,-1.13,-5.92,-7.2,16.85,18.01
6.86,-2.41,-2.38,-11.96,-2.2,-14.34
7.33,0.04,-3.81,-17.46,24.66,22.71
8.3,-0.65,5.39,0.67,0.61,-0.61
8.22,-0.43,-4.43,13.73,-1.46,-11.6
7.67,-4.27,-4.66,-91.8,28.87,60.24
11.31,-1.78,-5.19,0.73,-23.19,-10.99
7.92,-1.9,-5.16,-0.37,0.37,-1.34
6.85,-2.77,-6.12,-13.37,-38.76,3.05
8.01,1.25,-3.82,18.92,7.57,-20.08
7.38,-2.72,-10.28,-2.14,1.77,-10.01
8.35,7.33,-6.04,47.12,6.96,-33.08
8.11,-1.73,-4.58,-6.29,5.62,11.11
5.8,-0.23,-6.84,-3.97,15.75,-12.39
9.6,-6.89,-2.41,-104.98,16.97,75.62
5,-2.51,-6.21,19.1,-5,-18.07
6.3,-3.99,-5.34,37.05,-13.85,-18.55
6.05,0.02,-6.2,6.96,-19.47,3.78
7.06,-0.97,-5.83,13.85,3.91,-23.86
7.79,-1.61,-5.17,65.92,-21.55,-63.66
6.38,-2.29,-6.24,-13.61,4.76,11.23
8.32,0.57,-4.77,37.23,-10.93,-37.05
7.91,-1.82,-3.88,-97.41,21.73,21.36
6.81,0.14,-7.16,-5.19,1.1,-2.32
5.95,-0.55,-7.11,10.31,15.87,-17.64
8.46,-1.89,-4.31,11.17,0.67,17.46
6.78,-3.08,-6.45,69.64,-10.56,-65.67
7.52,-2.83,-5.37,-0.49,-0.24,-1.53
12.83,-4.31,-8.16,51.64,-38.51,-6.84
9.09,-2.09,-6.93,-1.77,-16.48,-8.61
5.81,-0.24,-3.07,14.53,1.89,-4.03
8.77,-3.1,-2.65,-0.31,-0.73,-1.65
8.75,-2.61,-1.41,2.75,-4.21,-6.35
3.52,-2.81,-9.19,-28.99,-9.52,-11.35
6.09,-1.61,-5.42,40.04,-8.48,-23.62
6.69,-1.71,-5.34,-49.5,11.47,15.32
14.94,1.44,-7.95,-1.22,1.04,27.65
12.25,-1.66,-7.82,15.56,-26.31,-21.12
5.28,2.56,-8.06,-2.44,12.02,-6.71
7.39,-0.25,-4.74,10.56,10.5,-13.79
5,-1.05,-5.93,-75.99,17.4,44.43
5.76,2.07,0.29,5.92,-63.17,49.99
5.05,-4.26,-5.79,18.8,-9.52,-49.19
6.03,-2.93,7.39,1.4,1.71,-0.61
5.34,-3.75,7.56,-6.29,-1.22,-0.98
5.92,5.06,-4.35,-88.62,-30.64,39.67
6.88,-1.04,-4.95,23.25,-5.92,-15.81
7.17,-0.17,-2.41,-26.43,8.85,-16.05
19.81,-2.97,-8.93,-77.64,-185.61,113.53
5.29,0.48,-5.72,-5.8,5.13,-3.54
7.67,-1.87,-5.7,-20.45,2.99,1.59
4.46,-2.33,-1.72,-84.59,20.39,21
6.17,0.46,-5.05,-7.75,-1.4,16.05
20.44,3,-5.36,37.72,45.84,-25.63
3.85,-3.97,-6.91,62.93,-32.41,-66.41
7.36,-1.79,6.48,-0.79,1.53,-0.73
7.83,1.08,-7.82,-4.33,-8.54,-4.64
8.04,-3.31,-3.33,-21.12,-5.43,-5.55
3.96,-6.47,8.55,-23.13,-29.11,1.34
8.2,-2.14,-4.78,-0.12,0.92,0.85
9.04,2.33,-4.78,4.88,-21.48,6.65
4.71,1.06,-4.57,-4.46,-3.36,-2.14
6.62,1.28,-6.25,-33.63,1.71,22.83
6.9,-2.57,-6.07,-5.8,-7.75,7.93
10.24,7.72,-4.74,-83.68,-25.45,60.91
4.08,0.42,-8.83,7.75,-7.2,30.76
8.11,-2.54,9.87,-3.17,-18.25,6.1
9.03,3.07,-5.62,-10.74,-10.8,29.91
6.99,-1.07,-6.32,-2.93,-3.85,-2.32
7.41,0.11,-6.31,9.22,0.67,-3.78
6.35,2.2,-5.56,-2.14,7.81,-11.29
7.44,-2.08,6.2,-0.55,-0.18,-1.16
7.74,-1.66,6.5,-12.82,1.71,-5.62
3.68,-0.03,-5.8,-4.88,10.8,12.57
15.99,-1.25,-5.93,25.39,-23.01,0.61
4.35,-2.93,8.41,-0.18,2.56,0.73
7.79,-1.35,7.07,11.05,3.05,-5.13
6.17,-3.72,-7.7,-57.98,68.91,49.13
9.53,-3.95,-2.92,-6.71,-8.48,7.63
6.21,4.43,5.41,36.56,-0.55,-14.53
9.4,-2.02,-5.42,-30.88,2.69,21.3
6.64,-1.98,-6.34,41.69,-16.66,-28.14
8.71,-1.66,-3.17,15.01,10.13,-21.85
8.45,-1.46,-9.3,-2.99,39.61,-2.38
5.29,-0.95,-3.93,13.79,8.48,-9.34
5.59,-4.16,7.12,-5.62,4.7,6.47
4.36,-1.54,-6.42,2.56,-8.79,6.23
1.13,-4.24,-2.3,0.18,-41.69,-50.23
7.43,-0.34,-4.23,19.84,11.6,-1.65
5.43,-3.57,-6.71,-13.12,33.51,38.27
2.88,1.83,-1.62,-36.25,-8.18,-1.22
2.53,-7.43,6.45,-3.48,-2.62,-3.05
6.87,-0.96,-6.62,48.83,-11.9,-40.16
7.24,-2.5,-3.58,105.41,-13.12,-57.13
8.89,-3.28,-2.02,0.06,0.43,-1.4
8.46,-1.23,-3.77,9.03,-12.7,15.14
3.61,-1.88,-9.1,-2.75,20.51,-14.53
5.96,-0.8,-6.85,19.59,-4.7,-23.25
6.34,-0.31,-7.39,-24.54,6.53,29.97
7.42,-1.88,-5.47,2.26,-1.34,1.4
6.71,-1.91,-7.81,-21.97,29.36,39.37
15.18,4.39,-5.98,-8.24,8.91,36.25
5.59,-1.53,-4.51,-2.08,6.84,-24.72
8.97,-0.94,-5.1,-34.06,-3.66,13.18
7.96,-1.23,7.32,4.52,6.23,-0.12
6.69,2.92,6.77,-15.5,1.16,-3.48
7.29,-2.74,-6.93,-80.63,51.64,60.18
7,-1.51,-7.37,-76.97,53.71,51.27
7.93,-5.06,-4.16,-36.38,-10.19,-18.19
8.09,1.74,-8.03,-67.87,-30.94,43.27
4.61,-1.27,-4.72,-12.02,-7.75,10.31
6.41,-1.21,7.59,-0.18,0.06,-0.67
9.38,0.8,-2.04,19.65,28.08,-2.75
8.75,-2.55,-3.09,17.09,2.69,-10.56
7.04,-2.88,-4.42,16.72,-18.49,-21.85
7.68,0.97,-5.86,-6.16,-9.77,7.14
6.89,-0.1,-3.72,-17.88,-3.05,0.24
7.86,-1.91,-3.05,51.88,9.58,-19.59
7.57,1.48,-2.95,-34.3,14.59,10.5
8.7,-2.92,-2.7,-1.71,-2.5,-0.61
1.93,-9.07,8.59,-6.41,-5.98,1.59
8.27,-2.31,-4.63,-2.01,3.11,0.73
7.99,-3.07,-4.26,-10.86,13,-2.26
11.15,-1.62,-6.53,-7.69,3.91,41.93
6.72,-3.38,-6.09,-3.42,4.46,-17.94
8.2,-4.63,-2.31,-1.04,-1.22,1.46
7.37,3.36,-4.13,13.37,-1.46,-31.25
2.2,-0.78,-3.26,-40.41,-11.6,44.68
5.88,-4.13,7.12,-13.49,-5.8,-8.24
7.21,-2.55,-4.03,-11.72,10.13,1.34
7.27,0.08,-5.39,-13.37,0.55,2.56
5.14,0.65,-6.52,9.4,1.34,-7.93
9.02,-2.9,-1.99,-0.24,0.85,-1.4
8.17,0.01,-7.72,-65.8,-8.85,43.09
8.57,1.87,-5.59,-9.7,-1.53,-0.06
8.44,-1.28,-6.1,-12.82,7.69,21.24
8.83,-1.7,-3.81,39.98,-5.13,-29.42
6.59,-1.84,-6.02,10.93,-5,-4.15
10.28,-1.24,-6.38,8.61,-7.32,-7.75
6.93,0.32,-7.56,5.74,14.89,-20.32
5.15,7.52,3.22,-6.16,-6.47,13.06
2.69,4.11,10.18,-9.95,11.47,-26.12
6.19,-0.01,-7.75,-7.75,-5.31,23.5
5.31,-3.67,7.48,-11.72,7.39,3.05
4.36,0.99,-5.73,3.3,-6.41,-4.58
7.48,0.49,-6.14,-0.98,-17.15,-5.37
7.08,1.18,-5.66,17.33,1.22,-6.47
6.07,-0.34,-5.01,-60.97,1.34,61.34
11.98,-3.73,-6.89,10.86,-2.75,-45.96
9.65,-1.74,2.78,40.65,56.46,2.87
17.93,-9.77,9.77,-51.76,-100.1,-45.29
8.67,-5.99,-0.98,104.86,25.94,26
17.24,-10.06,-12.72,-215.03,-353.76,-37.9
8.36,-2.25,-5.15,-13.31,-73.24,1.89
3.67,2.57,-6.96,-76.17,25.09,25.09
7.61,-1.83,-4.79,-27.95,-2.62,7.02
5.91,2.37,-3.83,-13.73,-10.86,11.78
8.02,-2.55,-5.14,27.04,-7.51,-26.73
11.08,0.27,-7.18,-82.34,9.22,64.15
4.75,0.18,-6.54,18.19,-3.48,-6.16
7.09,-1.92,-4.96,-37.84,12.21,14.34
5.87,-1.36,-6.78,21.97,1.28,-17.33
10.17,1.37,-8.22,-6.53,0.67,32.41
-1.11,1.94,20.67,137.51,-88.99,28.44
8.3,-2.14,-4.36,17.27,-5.19,5.13
6.48,-1.08,-6.9,48.1,-12.02,-20.2
7.93,-3.13,-4.14,26.55,3.78,-5.25
-2.35,3.7,-9.44,144.35,113.89,-103.03
10.29,-6.88,-2.48,-12.08,-144.53,-98.14
7.54,1.5,-5.28,27.53,36.44,-28.87
20.5,-2.63,-9.85,11.96,10.38,-30.15
6.27,-0.74,7.63,-0.43,-0.37,-1.28
7.13,-3.24,-5.82,32.65,-5.68,-36.68
7.93,-2.72,-3.81,17.46,-2.2,-11.17
7.46,-6.06,-8.37,-37.29,38.09,-5.25
6.87,1.2,-3.62,10.99,-0.73,-20.81
5.83,-3.58,-6.43,-4.94,1.28,-1.77
7.9,-0.01,-4.07,-11.78,7.93,19.59
8.88,-7.8,-5.54,12.02,-17.64,2.44
8.9,0.83,-1.48,-40.77,-69.95,-163.45
5.06,-0.57,-5.48,36.8,-1.95,-36.8
7.26,0.89,-3.94,-5.43,-8.3,-3.85
9.06,-1.39,-4.16,-71.9,29.05,24.48
5.92,4.69,7.6,-38.76,14.95,-7.39
8.34,-2.47,-4.25,-8.73,4.64,-4.64
7.59,-1.77,-5.85,52.49,-7.51,-33.87
5.97,-3.16,7.51,-0.73,-0.31,-0.24
7.44,-1.64,-6.32,-21.12,-2.44,22.22
10.46,-2.49,-4.77,62.81,-14.28,-18.25
9.35,-2.1,-1.83,-0.98,0.85,0.06
4.16,-4.5,7.87,-2.99,1.65,-1.4
8.18,-0.15,-5.24,-53.83,-4.64,59.39
4.46,-4.82,-10.01,-15.99,-21.67,4.33
7.53,-2.72,-7.19,-32.23,10.01,29.66
6.42,-0.83,-7.09,-1.4,2.75,8.73
6.33,-1.37,-4.57,80.87,-19.9,-32.71
7.33,-0.13,-5.24,1.77,8.97,-3.48
4.15,-2.66,8.56,3.6,-3.3,-0.18
6.14,0.62,-5.88,2.69,-4.52,-19.65
4.79,-3.12,-7.03,-42.48,44.01,50.42
5.64,-1.51,-4.75,62.26,-15.87,-18.37
8.5,-1.57,-6.38,-3.42,2.38,20.2
8.86,-1.79,-5.8,10.44,-13.79,-3.42
8.36,-1.4,-5.53,46.14,-0.55,-27.47
6.75,4.92,4.54,7.87,-12.51,-22.58
7.79,-1.29,5.89,-0.61,0.24,-0.79
7.56,-0.4,-6.26,-79.1,9.28,55.24
5.43,-4.54,7.24,-0.43,-0.55,-1.71
6.2,-2.14,-7.25,-24.17,-2.2,3.6
7.44,1.11,-6.3,-50.11,-2.75,32.29
3.35,-5.73,-4.91,-61.77,-82.34,122.44
6.98,-2.68,-7.52,30.33,5.55,-3.6
9.88,-7.09,-6.47,60,-8.18,-48.65
5.93,-7.22,-3.15,17.33,26.49,56.52
6.79,-1.61,6.85,3.54,3.3,-5.8
9.06,-2.74,-1.99,-1.1,0.12,-0.06
7.31,-2.46,-5.43,-22.16,16.72,31.43
9.59,-0.14,-7.16,-15.2,8.3,-11.41
6.52,-2.4,-6.38,16.11,-3.05,-13.61
6.4,0.75,7.5,-0.18,0.61,-1.16
9.7,2.26,0.32,12.82,20.08,37.41
8.19,-2.7,-4.56,-0.49,0,-0.85
7.11,-4.07,1.26,-34.79,-79.96,-18.98
7.17,-6.13,4.83,9.89,72.08,15.75
8.98,-3.94,-10.7,-24.54,12.15,-12.27
8.74,-0.15,-7.7,-9.46,22.28,30.94
9.22,-4.34,-4.43,-17.03,6.04,12.08
5.55,-4.42,-6.02,39.86,-6.35,-30.82
7.44,-3.35,-1.8,-17.58,-0.43,-0.43
5.04,-0.76,-3.47,14.47,-9.03,-21.06
9.34,-0.18,4.69,7.81,8.24,-36.62
1.53,3,0.81,-19.35,-36.93,14.77
4.31,-5.65,7.06,0.18,-0.92,-0.18
